"","county","year","dem.vote","dem.vote.perc","rep.vote","rep.vote.perc","oth.vote","oth.vote.perc","num.diff","perc.diff","winning.party","winner","turnout","turnout.perc","total.voting.age","dem.change","rep.change","oth.change","swing.num","swing.perc","swing.turnout","swing.turnout.perc","dem.wins","mostly.dem","dem.2016","most.turnout.drop","most.turnout.drop","use.machines.prop","machine.most.used","all.machines","ftotinc"
"18","Eau Claire",2016,27271,50.43,23301,43.09,3508,6.49,-3970,-7.34,"Dem","Clinton",54080,67.7032474523649,79878,-5.5237276940481,0.656689778491405,4.87703791555669,3440,6.18041747253951,-726,-2.01295724660351,5,"Mostly Dem","Dem2016","Little turnout change 2016","Little turnout change 2016",1,"Dominion","Mostly voting machines",NA
"19","Florence",2016,666,25.12,1897,71.56,88,3.32,1231,46.44,"Rep","Trump",2651,72.2343324250681,3670,-11.1847619047619,8.89333333333333,2.29142857142857,539,20.0780952380952,26,-0.460212022453334,0,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0,NA,"Some or no voting machines",NA
"20","Fond du Lac",2016,17391,34.04,31044,60.76,2659,5.21,13653,26.72,"Rep","Trump",51094,63.4857916775388,80481,-7.86667016216621,3.91755964196097,3.95911052020524,5677,11.7842298041272,-2308,-3.93501708936312,0,"Mostly Rep","Rep2016","Large turnout change 2016","Large turnout change 2016",1,"ES&S","Mostly voting machines",NA
"21","Forest",2016,1583,35.12,2787,61.84,137,3.04,1204,26.72,"Rep","Trump",4507,61.5290102389079,7325,-17.0529776247849,15.1102237521515,1.94275387263339,1457,32.1632013769363,-141,-2.94595161433115,2,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0,NA,"Some or no voting machines",NA
"22","Grant",2016,10047,41.77,12347,51.34,1657,6.89,2300,9.57,"Rep","Trump",24051,58.174297946448,41343,-14.2923556581986,9.04785219399538,5.24450346420323,5639,23.340207852194,-197,-1.42066862846352,4,"Mostly Dem","Rep2016","Little turnout change 2016","Little turnout change 2016",0.192307692307692,"ES&S","Some or no voting machines",NA
"23","Green",2016,9121,48.54,8693,46.26,977,5.2,-428,-2.28,"Dem","Clinton",18791,65.9981736442821,28472,-9.45606665976607,5.59650760790808,3.85955905185799,2921,15.0525742676742,-531,-2.95725264314518,5,"Mostly Dem","Dem2016","Little turnout change 2016","Little turnout change 2016",1,"ES&S","Mostly voting machines",NA
"24","Green Lake",2016,2700,28.99,6210,66.67,405,4.35,3510,37.68,"Rep","Trump",9315,62.0668976545842,15008,-10.2141343669251,6.90772609819122,3.31640826873385,1521,17.1218604651163,-360,-3.43750315787347,0,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.5625,"ES&S","Some or no voting machines",NA
"25","Iowa",2016,6669,55.01,4809,39.67,645,5.31,-1860,-15.34,"Dem","Clinton",12123,66.6355191557192,18193,-9.65411361097814,5.46703207276209,4.17708153821605,1958,15.1211456837402,-411,-3.36727336033773,5,"Mostly Dem","Dem2016","Little turnout change 2016","Little turnout change 2016",0.16,"ES&S","Some or no voting machines",NA
"26","Iron",2016,1273,36.61,2090,60.11,114,3.28,817,23.5,"Rep","Trump",3477,69.9034981905911,4974,-12.5089427312775,10.825859030837,1.68308370044053,811,23.3348017621145,-155,-4.29466319858155,2,"Mostly Rep","Rep2016","Large turnout change 2016","Large turnout change 2016",0,NA,"Some or no voting machines",NA
"27","Jackson",2016,3821,41.52,4907,53.33,474,5.14,1086,11.81,"Rep","Trump",9202,56.8094826521793,16198,-15.3682207666702,11.4530537957693,3.90516697090089,2484,26.8212745624396,-111,-1.61219729261716,4,"Mostly Dem","Rep2016","Little turnout change 2016","Little turnout change 2016",0.037037037037037,"ES&S","Some or no voting machines",NA
