"","county","ftotinc"
"1","Brown",92124.0198290683
"2","Dane",152428.761832692
"3","Kenosha",80153.4771450022
"4","La Crosse",96711.3737051733
"5","Marathon",97035.3726290716
"6","Milwaukee",139936.465798353
"7","Outagamie",84720.3654280293
"8","Racine",81884.6753948655
"9","Rock",106896.005801386
"10","Sheboygan",101703.533520971
"11","Walworth",96798.524939533
"12","Waukesha",139723.39827639
"13","Winnebago",108273.321258213
